id,name,image_url,created_at
6381147e-92ad-47a0-8fe0-f5365192300b,Work	,https://world.gowalla.com/tags/work--x128.png,2020-11-13T23:54:14.819Z
eb741882-b9b4-4c58-99fd-c04d3608cefa,Eat & Drink,https://world.gowalla.com/tags/eat_and_drink--x128.png,2020-11-13T23:54:14.819Z
70925331-881f-4f38-be8f-c8254fe84b06,Explore,https://world.gowalla.com/tags/explore--x128.png,2020-11-13T23:54:14.819Z
58bb0e3e-66d1-468f-857d-22722db3c46c,Learn,https://world.gowalla.com/tags/learn--x128.png,2020-11-13T23:54:14.819Z
ab5a5e84-6bc7-4c12-9fb7-e86976319dff,Party,https://world.gowalla.com/tags/party--x128.png,2020-11-13T23:54:14.819Z
45abbf4e-6c26-4b21-8c0a-749019fcc350,Play,https://world.gowalla.com/tags/play--x128.png,2020-11-13T23:54:14.819Z
8f5fb337-3d37-4d96-ac86-4cc3ebc3d557,Relax	,https://world.gowalla.com/tags/relax--x128.png,2020-11-13T23:54:14.819Z
245dd3f7-bb5b-4c12-a4af-cce5408235c7,Shop,https://world.gowalla.com/tags/shop--x128.png,2020-11-13T23:54:14.819Z
853381cd-00c5-4f6f-bf3f-45dd730bc4f8,Sweat,https://world.gowalla.com/tags/sweat--x128.png,2020-11-13T23:54:14.819Z
338611df-9bbe-4ed1-93b5-ee5a2dc80df4,Travel,https://world.gowalla.com/tags/travel--x128.png,2020-11-13T23:54:14.819Z
391f8e6b-bf98-4777-8a92-8c07f1e6146e,Breathe,https://world.gowalla.com/tags/breathe--x128.png,2020-11-13T23:54:14.819Z
