id,name,image_url,created_at
bc0b3a5d-02db-49d1-91b9-1f4f4cfc6eb5,Baby Store,https://world.gowalla.com/tags/baby_store--x128.png,2020-11-13T23:59:15.789Z
bda5d728-ec3b-431f-80b6-b7244f9d3d83,Bagels,https://world.gowalla.com/tags/bagel_shop--x128.png,2020-11-13T23:59:15.789Z
b98a1b85-b773-423c-9788-b2f1869f938e,Baggage Claim,,2020-11-13T23:59:15.789Z
fcf9d344-b6e0-4b91-a70a-1df64806bbb2,Baggage Locker,,2020-11-13T23:59:15.789Z
dab4fff5-a19b-449d-ae07-c65d3deae016,Bakery,https://world.gowalla.com/tags/bakery--x128.png,2020-11-13T23:59:15.789Z
085bde5c-724e-47bb-89de-e46873449c3f,Bank,,2020-11-13T23:59:15.789Z
3f89ef96-609c-4ee9-8a5a-fa29d08db9bb,Bar,https://world.gowalla.com/tags/bar--x128.png,2020-11-13T23:59:15.789Z
e67dfbd6-3782-48ac-ba1e-444a8a83ea38,Baseball Field,https://world.gowalla.com/tags/baseball_field--x128.png,2020-11-13T23:59:15.789Z
8775e5fc-dd2d-4761-9423-b579c77daa4d,Baseball Stadium,https://world.gowalla.com/tags/baseball_stadium--x128.png,2020-11-13T23:59:15.789Z
dabd28ca-a473-4161-9551-9f9687efd2c9,Basketball Arena,https://world.gowalla.com/tags/basketball_arena--x128.png,2020-11-13T23:59:15.789Z
87023b66-17f9-4b2b-b3c5-41c693db6a7b,Basketball Court,https://world.gowalla.com/tags/basketball_court_1--x128.png,2020-11-13T23:59:15.789Z
4c962327-ba52-4a68-b3e0-9f58939158dc,Bath House,https://world.gowalla.com/tags/bath_house--x128.png,2020-11-13T23:59:15.789Z
1a7fcc53-bb53-492f-a0c4-dfb8817869d4,Bay,,2020-11-13T23:59:15.789Z
e770ef6d-0cf4-4161-8993-66ea16ad7754,BBQ,https://world.gowalla.com/tags/bbq--x128.png,2020-11-13T23:59:15.789Z
6de2cb84-c8e7-467e-9d69-09618d1931d8,Beach,https://world.gowalla.com/tags/beach--x128.png,2020-11-13T23:59:15.789Z
a21d29fa-4a8e-4e98-9aa8-44cbe1c3f5d4,Bed & Breakfast,,2020-11-13T23:59:15.789Z
db5d0b20-0d3d-4bd9-86c0-b12f5c2d9d5e,Beer Garden,https://world.gowalla.com/tags/beer_garden--x128.png,2020-11-13T23:59:15.789Z
59cd7ef7-7e87-41fd-899d-6063748242c9,Belgian Food,https://world.gowalla.com/tags/belgian_food--x128.png,2020-11-13T23:59:15.789Z
e0e98be4-93f6-4ba4-a561-17dfc5ae3c25,Bike Rental,,2020-11-13T23:59:15.789Z
915ef871-b09b-4c64-8f5c-0b7747cd2b38,Bike Share,,2020-11-13T23:59:15.789Z
59105515-d2cd-4424-a67f-1cebb04c39f3,Bike Shop,https://world.gowalla.com/tags/bike_shop--x128.png,2020-11-13T23:59:15.789Z
83bdd310-cb8e-4840-93b7-bc7666cef519,Bike Trail,https://world.gowalla.com/tags/bike_trail--x128.png,2020-11-13T23:59:15.789Z
e2bf8f20-f8fe-48df-b254-7e1e1a2f4d74,Bistro,https://world.gowalla.com/tags/bistro--x128.png,2020-11-13T23:59:15.789Z
15b7e59e-aa99-433f-9355-6a800c6adb0f,Bocce Court,https://world.gowalla.com/tags/bocce_court--x128.png,2020-11-13T23:59:15.789Z
f3004b4a-5320-4371-97f9-1fe082a8cd94,Book Store,https://world.gowalla.com/tags/book_store--x128.png,2020-11-13T23:59:15.789Z
4902e801-a95f-43a6-9a12-97ddc60ed422,Border Crossing,,2020-11-13T23:59:15.789Z
